Store Number,City,Transaction_Count,Total_Revenue,Total_Bottles_Sold,Average_Transaction_Value,Average_Bottles_Per_Transaction,Average_Bottle_Retail,Premium_Product_Share,Unique_Products,Unique_Categories,Cluster,Cluster_Name,PCA1,PCA2
10063,WATERLOO,6,915.96,163,152.66,27.166666666666668,31.726666666666663,0.16666666666666666,6,6,0,Premium Retail Stores,-1.4479857166231733,2.452772681811607
10065,BETTENDORF,51,13497.19,836,264.6507843137255,16.392156862745097,20.927647058823528,0.27450980392156865,47,22,3,Balanced High-Performing Stores,2.4796424815557785,1.1422238564566631
10068,CLINTON,9,754.42,43,83.82444444444444,4.777777777777778,17.413333333333334,0.3333333333333333,9,7,0,Premium Retail Stores,-1.9910013410908682,0.3459893242598501
10070,LE CLAIRE,13,1904.43,133,146.4946153846154,10.23076923076923,24.01153846153846,0.5384615384615384,13,9,0,Premium Retail Stores,-0.5362562143540982,1.99422745883043
10071,FORT DODGE,11,545.51,82,49.591818181818184,7.454545454545454,18.005454545454544,0.2727272727272727,11,8,0,Premium Retail Stores,-1.723185824792159,0.07095412836321117
10072,MUSCATINE,6,767.6,85,127.93333333333334,14.166666666666666,58.169999999999995,0.3333333333333333,6,6,0,Premium Retail Stores,-1.5366988048270969,4.41379530101763
10073,OGDEN,19,1519.22,71,79.95894736842105,3.736842105263158,26.323684210526316,0.47368421052631576,18,12,0,Premium Retail Stores,-0.6078255997485276,1.2056925940105663
10074,ANKENY,16,52143.83,2039,3258.989375,127.4375,46.896875,0.9375,13,7,4,Specialized Wholesale Stores,7.284148767200453,24.656379169317002
10076,TIFFIN,24,3894.41,213,162.26708333333332,8.875,34.96,0.625,24,15,0,Premium Retail Stores,0.8091657797904099,2.92795674373498
10077,MARION,5,459.96000000000004,56,91.992,11.2,13.216000000000003,0.2,5,3,1,Standard Neighbourhood Stores,-2.734602744991358,0.10278958265474913
10080,RAYMOND,6,759.36,53,126.56,8.833333333333334,25.26,0.3333333333333333,6,5,0,Premium Retail Stores,-2.134041546352895,1.5082801723297763
10089,FAIRFIELD,12,1537.56,249,128.13,20.75,11.099166666666667,0.16666666666666666,12,7,1,Standard Neighbourhood Stores,-0.8112428868695968,0.15830511255227683
10090,OTTUMWA,6,526.14,57,87.69,9.5,19.485,0.3333333333333333,5,3,0,Premium Retail Stores,-2.485111113125727,0.9366418724358161
10091,COUNCIL BLUFFS,10,1186.16,103,118.61600000000001,10.3,24.976,0.2,10,6,0,Premium Retail Stores,-1.3701995604892643,0.9145479940602302
10093,COUNCIL BLUFFS,12,1336.16,101,111.34666666666668,8.416666666666666,28.023333333333337,0.25,10,7,0,Premium Retail Stores,-1.1893900667137438,1.1715514638335185
10094,COUNCIL BLUFFS,8,1382.82,156,172.8525,19.5,8.85125,0.0,7,4,1,Standard Neighbourhood Stores,-1.6014825467275076,-0.263371079978256
10095,COUNCIL BLUFFS,9,1224.6,98,136.06666666666666,10.88888888888889,25.994444444444444,0.2222222222222222,8,6,0,Premium Retail Stores,-1.4590083867984198,1.2305996312327836
10096,DAVENPORT,17,1709.08,221,100.53411764705882,13.0,19.976470588235294,0.4117647058823529,17,10,0,Premium Retail Stores,-0.2790586054305194,1.063026925733489
10097,COUNCIL BLUFFS,19,4109.16,335,216.27157894736843,17.63157894736842,20.15368421052632,0.42105263157894735,18,11,0,Premium Retail Stores,0.5003604568102515,1.8352685906644943
10098,FAYETTE,10,828.26,58,82.826,5.8,26.671,0.5,10,9,0,Premium Retail Stores,-1.4813851636973658,1.6438850511271654
10100,MARSHALLTOWN,15,3525.02,98,235.00133333333332,6.533333333333333,38.74,0.5333333333333333,15,10,0,Premium Retail Stores,-0.04701241997771594,3.350646977531673
10102,CHEROKEE,10,1121.69,65,112.16900000000001,6.5,21.312,0.5,10,9,0,Premium Retail Stores,-1.3397442216622593,1.385406835223001
10103,DAVENPORT,15,1813.26,172,120.884,11.466666666666667,18.449333333333335,0.2,14,9,1,Standard Neighbourhood Stores,-0.6625573720948151,0.3117218865367222
10104,MARION,30,2979.13,223,99.30433333333333,7.433333333333334,30.752666666666663,0.43333333333333335,30,19,0,Premium Retail Stores,0.8082592364671412,1.4624343808643985
10105,OELWEIN,5,632.88,80,126.576,16.0,12.297999999999998,0.0,5,4,1,Standard Neighbourhood Stores,-2.499409762455023,-0.2631645382694299
10106,LAKE MILLS,8,443.78,13,55.4725,1.625,40.13625,0.75,8,8,0,Premium Retail Stores,-2.236483192879509,3.3259309250605096
10107,CLARION,9,965.13,77,107.23666666666666,8.555555555555555,17.262222222222224,0.2222222222222222,9,8,1,Standard Neighbourhood Stores,-1.659790325163947,0.23630815982794312
10111,AMES,9,1020.6600000000001,99,113.40666666666668,11.0,11.165555555555557,0.0,9,7,1,Standard Neighbourhood Stores,-1.7559877427455914,-0.848553002521869
10112,AMES,7,780.52,66,111.50285714285714,9.428571428571429,20.368571428571425,0.2857142857142857,7,6,0,Premium Retail Stores,-1.9807032948214276,0.8555702650554375
10115,BONDURANT,11,1170.25,71,106.38636363636364,6.454545454545454,22.154545454545453,0.45454545454545453,11,9,0,Premium Retail Stores,-1.2422059836934642,1.2433132412931398
10116,LAKE MILLS,10,1426.47,72,142.647,7.2,19.137,0.4,9,8,0,Premium Retail Stores,-1.3359856154551082,1.0784258872479424
10117,WINTERSET,18,1471.01,94,81.72277777777778,5.222222222222222,19.413333333333334,0.3888888888888889,18,15,0,Premium Retail Stores,-0.5380359532155053,0.4096759939372688
10122,VINTON,5,567.36,60,113.47200000000001,12.0,12.744,0.2,5,4,1,Standard Neighbourhood Stores,-2.5669024446469106,0.1943251585466368
10127,MUSCATINE,5,310.5,16,62.1,3.2,20.25,0.4,5,4,0,Premium Retail Stores,-3.2053574541631606,0.8144379700311377
10134,WEST DES MOINES,13,1912.83,89,147.14076923076922,6.846153846153846,26.541538461538458,0.6153846153846154,12,12,0,Premium Retail Stores,-0.5649740960012458,2.2805753863044127
10136,WAUKEE,33,3220.36,164,97.58666666666667,4.96969696969697,29.233333333333334,0.42424242424242425,32,19,0,Premium Retail Stores,0.745511872878898,1.1633615082594402
10138,DAVENPORT,17,1797.2,146,105.71764705882353,8.588235294117647,18.381764705882354,0.35294117647058826,17,13,0,Premium Retail Stores,-0.39510530286612733,0.5182852465652096
10146,BROOKLYN,13,952.21,44,73.24692307692308,3.3846153846153846,21.446923076923078,0.5384615384615384,12,9,0,Premium Retail Stores,-1.41142956452877,1.131978702124139
10149,ORANGE CITY,7,372.93,30,53.27571428571429,4.285714285714286,12.837142857142856,0.14285714285714285,7,6,1,Standard Neighbourhood Stores,-2.8250910788609938,-0.7601169036522344
10152,COUNCIL BLUFFS,5,594.37,78,118.874,15.6,21.66,0.2,5,5,1,Standard Neighbourhood Stores,-2.2863451168201783,1.0994582427812054
10153,BURLINGTON,10,396.93,40,39.693,4.0,17.593,0.4,10,9,0,Premium Retail Stores,-2.1103151402151417,0.2701427402651378
10154,WEBSTER CITY,10,621.72,64,62.172000000000004,6.4,15.636000000000001,0.2,10,8,1,Standard Neighbourhood Stores,-1.9096209739039074,-0.32190510016667234
10157,CLINTON,5,1241.76,48,248.352,9.6,31.494,0.6,4,3,0,Premium Retail Stores,-1.8910404702607049,3.614549096698705
10158,WEST UNION,7,516.61,23,73.80142857142857,3.2857142857142856,19.389999999999997,0.5714285714285714,7,6,0,Premium Retail Stores,-2.444532109919608,1.2722049860204063
10159,MILFORD,11,1673.6499999999999,89,152.14999999999998,8.090909090909092,15.886363636363637,0.45454545454545453,11,9,0,Premium Retail Stores,-1.0187554806673496,1.0297482679862269
10160,SIOUX CITY,36,4533.28,670,125.92444444444443,18.61111111111111,15.123611111111112,0.19444444444444445,32,14,3,Balanced High-Performing Stores,1.1248907871607212,0.07363991082707182
10162,NEWTON,6,788.64,71,131.44,11.833333333333334,32.37833333333333,0.5,6,5,0,Premium Retail Stores,-1.7997240908364713,2.8089368434087625
10165,DAVENPORT,49,3507.82,314,71.58816326530612,6.408163265306122,18.718163265306124,0.3469387755102041,46,18,3,Balanced High-Performing Stores,1.1382668203910569,-0.11270878954594492
10167,ELDRIDGE,27,10304.9,443,381.6629629629629,16.40740740740741,20.30333333333333,0.3333333333333333,27,14,3,Balanced High-Performing Stores,1.5165910791931982,2.0960224036227006
10168,CEDAR RAPIDS,5,192.8,13,38.56,2.6,20.23,0.6,4,2,0,Premium Retail Stores,-3.5135532002650183,1.391539993480609
10170,BURLINGTON,9,1333.83,149,148.20333333333332,16.555555555555557,17.992222222222225,0.3333333333333333,8,8,0,Premium Retail Stores,-1.1400856711775362,1.2603917932962703
10171,BURLINGTON,13,5001.96,537,384.7661538461538,41.30769230769231,12.116923076923078,0.07692307692307693,12,6,1,Standard Neighbourhood Stores,0.37726479750104075,2.1026605726336483
10177,CLIVE,16,2357.06,112,147.31625,7.0,27.0875,0.75,16,12,0,Premium Retail Stores,-0.10207859956784868,2.7118577495168372
10178,CEDAR FALLS,11,2478.84,117,225.34909090909093,10.636363636363637,26.029999999999998,0.36363636363636365,11,10,0,Premium Retail Stores,-0.5781167187327139,1.9900194598496546
10180,ODEBOLT,12,577.1800000000001,28,48.098333333333336,2.3333333333333335,21.9475,0.4166666666666667,12,10,0,Premium Retail Stores,-1.867122181923693,0.5862082700567398
10182,CARSON,8,1020.88,90,127.61,11.25,13.370000000000001,0.125,8,5,1,Standard Neighbourhood Stores,-1.8353570364446625,-0.11378233944792586
10183,IOWA CITY,9,727.74,70,80.86,7.777777777777778,17.93777777777778,0.3333333333333333,9,6,0,Premium Retail Stores,-1.8323590747515828,0.5238363818920049
10187,CORALVILLE,6,955.08,81,159.18,13.5,22.811666666666667,0.3333333333333333,6,6,0,Premium Retail Stores,-1.797587615866675,1.6722333038186754
10193,SIOUX CITY,33,4954.24,241,150.12848484848485,7.303030303030303,22.59090909090909,0.48484848484848486,31,19,3,Balanced High-Performing Stores,1.0909917202333328,1.193524157395456
10198,NEWTON,23,1657.6200000000001,227,72.0704347826087,9.869565217391305,14.930869565217392,0.13043478260869565,23,13,3,Balanced High-Performing Stores,-0.2102951877394753,-0.704957342478165
10199,ELKADER,12,421.27,24,35.10583333333333,2.0,18.44333333333333,0.25,11,6,0,Premium Retail Stores,-2.3798389601137337,-0.28203866575052894
10200,WATERLOO,16,4947.3,1075,309.20625,67.1875,13.94375,0.0625,16,8,1,Standard Neighbourhood Stores,1.078055786050922,3.0087749167763542
10201,ADEL,23,1987.3899999999999,111,86.40826086956521,4.826086956521739,25.910869565217393,0.391304347826087,23,17,0,Premium Retail Stores,-0.01588682432050423,0.850870228913233
10208,CEDAR RAPIDS,9,967.0799999999999,176,107.45333333333332,19.555555555555557,19.195555555555554,0.2222222222222222,9,6,1,Standard Neighbourhood Stores,-1.3008459350092691,0.9378946264943336
10213,CHARITON,16,2027.52,214,126.72,13.375,28.015,0.3125,16,12,0,Premium Retail Stores,-0.15395007761277768,1.5158678045765703
10214,WEST DES MOINES,13,1215.2,84,93.47692307692309,6.461538461538462,17.913846153846155,0.38461538461538464,13,10,0,Premium Retail Stores,-1.095757782823188,0.5430543538397964
10216,SALEM,5,237.88,21,47.576,4.2,12.876,0.0,5,5,1,Standard Neighbourhood Stores,-3.5096190841094277,-1.1707366999626452
10217,OSKALOOSA,7,600.26,36,85.75142857142858,5.142857142857143,36.08857142857143,0.5714285714285714,7,7,0,Premium Retail Stores,-1.9924793497169606,2.7525035652492673
10227,GRIMES,19,2336.35,126,122.96578947368421,6.631578947368421,24.67105263157895,0.5789473684210527,18,12,0,Premium Retail Stores,-0.10784097714574457,1.766504634484637
10232,CENTRAL CITY,7,1513.32,68,216.1885714285714,9.714285714285714,92.21142857142857,0.42857142857142855,7,7,0,Premium Retail Stores,-0.7432436548916029,7.63250139317708
10235,MAPLETON,8,310.66,19,38.8325,2.375,16.6975,0.375,8,6,0,Premium Retail Stores,-2.7962564191447625,0.1352326225406915
10239,WEST DES MOINES,6,625.16,36,104.19333333333333,6.0,25.251666666666665,0.6666666666666666,5,5,0,Premium Retail Stores,-2.2578600085300224,2.4187419423705285
10240,SPIRIT LAKE,15,2301.24,150,153.416,10.0,17.416,0.3333333333333333,15,10,0,Premium Retail Stores,-0.4582330536819353,0.7385258284774041
10241,LE CLAIRE,12,1355.26,86,112.93833333333333,7.166666666666667,15.731666666666667,0.25,12,9,1,Standard Neighbourhood Stores,-1.2273807564877552,0.07486605137940122
10248,WATERLOO,10,1310.8600000000001,81,131.086,8.1,19.026,0.4,10,6,0,Premium Retail Stores,-1.3590609243544656,1.0633610988933675
10254,BURLINGTON,6,576.6600000000001,44,96.11000000000001,7.333333333333333,18.18166666666667,0.3333333333333333,6,4,0,Premium Retail Stores,-2.462031353691273,0.7321342484651139
10256,WATERLOO,8,572.12,67,71.515,8.375,18.25625,0.25,8,7,1,Standard Neighbourhood Stores,-2.050604695776917,0.27165451935236556
10257,AKRON,5,803.52,37,160.704,7.4,30.586000000000002,0.4,5,5,0,Premium Retail Stores,-2.256838808116036,2.3046695710251273
10261,COUNCIL BLUFFS,11,1328.7,193,120.7909090909091,17.545454545454547,17.169090909090908,0.18181818181818182,10,7,1,Standard Neighbourhood Stores,-1.0403199823130111,0.5526117665200326
10268,CEDAR RAPIDS,13,1250.22,155,96.17076923076924,11.923076923076923,19.01076923076923,0.38461538461538464,13,10,0,Premium Retail Stores,-0.79285968694333,0.9005253197670766
10270,ANKENY,33,7436.3099999999995,366,225.34272727272725,11.090909090909092,30.924242424242426,0.696969696969697,29,14,0,Premium Retail Stores,1.5342643028210683,3.1770202903017872
10272,WEST DES MOINES,16,2516.21,185,157.263125,11.5625,28.611875,0.625,16,13,0,Premium Retail Stores,0.13466020606198928,2.6627923490076286
10280,CLEARLAKE,26,2666.39,201,102.55346153846153,7.730769230769231,20.64,0.2692307692307692,25,15,3,Balanced High-Performing Stores,0.24285300203833818,0.2192336492459033
10283,SIOUX CITY,12,1459.99,96,121.66583333333334,8.0,14.8925,0.3333333333333333,12,8,0,Premium Retail Stores,-1.132054810530468,0.3797863869091093
10289,STATE CENTER,6,132.23,9,22.03833333333333,1.5,14.29,0.16666666666666666,6,6,1,Standard Neighbourhood Stores,-3.775438599705014,-0.8171394252872817
10290,WATERLOO,7,1194.84,133,170.69142857142856,19.0,20.412857142857145,0.14285714285714285,7,6,1,Standard Neighbourhood Stores,-1.4921215993630266,1.1105551890010186
10291,WATERLOO,9,913.8,155,101.53333333333333,17.22222222222222,16.724444444444444,0.1111111111111111,9,7,1,Standard Neighbourhood Stores,-1.4584518717458,0.21268640659677976
10292,CEDAR FALLS,11,832.25,62,75.6590909090909,5.636363636363637,24.537272727272725,0.45454545454545453,11,9,0,Premium Retail Stores,-1.4382402631375135,1.248181399837626
10297,DAVENPORT,19,1789.78,311,94.19894736842105,16.36842105263158,19.357368421052634,0.15789473684210525,18,11,3,Balanced High-Performing Stores,-0.17307580250451268,0.2514811610328685
10300,CEDAR RAPIDS,12,1532.61,95,127.71749999999999,7.916666666666667,21.609166666666667,0.4166666666666667,12,6,0,Premium Retail Stores,-1.062798992789323,1.2513243059195087
10302,SIOUX CENTER,8,841.18,47,105.1475,5.875,19.5425,0.375,8,6,0,Premium Retail Stores,-1.9646104690837998,0.8568091196866339
10303,DECORAH,25,1774.15,43,70.96600000000001,1.72,22.0796,0.4,25,16,0,Premium Retail Stores,-0.4496925896622509,0.34486461582366357
10304,VINTON,6,403.13,28,67.18833333333333,4.666666666666667,18.413333333333334,0.3333333333333333,6,6,0,Premium Retail Stores,-2.74228278447892,0.4619374122482258
10306,ATLANTIC,14,1305.38,55,93.24142857142859,3.9285714285714284,28.40357142857143,0.6428571428571429,14,9,0,Premium Retail Stores,-0.9520074683658621,2.1335150447220532
10307,KNOXVILLE,5,374.76,156,74.952,31.2,11.808,0.2,5,5,1,Standard Neighbourhood Stores,-2.201302897593332,0.8359260428706853
10313,CENTERVILLE,5,765.1800000000001,38,153.036,7.6,29.215999999999998,0.6,5,5,0,Premium Retail Stores,-2.158149859684687,2.8409196584292715
10314,ANKENY,9,991.5999999999999,47,110.17777777777776,5.222222222222222,27.89333333333333,0.3333333333333333,9,5,0,Premium Retail Stores,-1.7889151287351204,1.3641919836016037
10320,OELWEIN,9,693.09,71,77.01,7.888888888888889,13.378888888888888,0.1111111111111111,9,7,1,Standard Neighbourhood Stores,-2.000935722025869,-0.6183974733661065
10323,DAVENPORT,8,1009.01,218,126.12625,27.25,15.532499999999999,0.5,7,6,0,Premium Retail Stores,-1.1155113531867562,2.088145311042375
10333,NORWALK,9,1475.69,71,163.96555555555557,7.888888888888889,32.708888888888886,0.5555555555555556,9,6,0,Premium Retail Stores,-1.172958172838462,2.8671131377251857
10334,GRIMES,13,1403.45,118,107.95769230769231,9.076923076923077,20.334615384615386,0.3076923076923077,13,11,0,Premium Retail Stores,-0.8638378515991384,0.6596949650748457
10347,INDEPENDENCE,21,1695.39,75,80.73285714285714,3.5714285714285716,28.264285714285712,0.47619047619047616,21,12,0,Premium Retail Stores,-0.4178952153021243,1.3283270896282373
10348,INDIANOLA,11,1404.1200000000001,194,127.64727272727274,17.636363636363637,14.719090909090909,0.2727272727272727,11,8,1,Standard Neighbourhood Stores,-0.8986887547052523,0.6706071610562715
10349,COUNCIL BLUFFS,22,1771.49,256,80.52227272727272,11.636363636363637,26.229090909090907,0.3181818181818182,22,12,0,Premium Retail Stores,0.04568525683169937,0.9904440646462866
10350,MUSCATINE,9,1101.54,328,122.39333333333333,36.44444444444444,7.404444444444445,0.1111111111111111,7,3,1,Standard Neighbourhood Stores,-1.2414377103724796,0.5660102266485458
10352,PERRY,7,633.9,73,90.55714285714285,10.428571428571429,32.784285714285716,0.42857142857142855,7,5,0,Premium Retail Stores,-1.8557892722862437,2.2973302187694578
10367,CUMMING,8,421.18,36,52.6475,4.5,13.73375,0.125,8,5,1,Standard Neighbourhood Stores,-2.646728751515219,-0.7664598685023447
10368,GRINNELL,6,470.03999999999996,17,78.33999999999999,2.8333333333333335,37.595,0.5,6,6,0,Premium Retail Stores,-2.5669893665612538,2.546842766204717
10370,JOHNSTON,7,295.74,32,42.24857142857143,4.571428571428571,19.032857142857143,0.2857142857142857,7,6,0,Premium Retail Stores,-2.743018265369601,0.17595765466273547
10386,DUBUQUE,13,2648.34,255,203.71846153846155,19.615384615384617,14.813846153846155,0.3076923076923077,13,9,1,Standard Neighbourhood Stores,-0.25306555920097995,1.185256472546978
10389,KEOKUK,17,2239.76,118,131.75058823529412,6.9411764705882355,30.11764705882353,0.5882352941176471,17,12,0,Premium Retail Stores,-0.1436202599972768,2.3179231809977834
10394,HUDSON,14,2800.95,129,200.06785714285712,9.214285714285714,24.945714285714285,0.5714285714285714,13,7,0,Premium Retail Stores,-0.36086620456680907,2.3961343508187656
10397,WATERLOO,11,1419.65,162,129.0590909090909,14.727272727272727,19.084545454545456,0.45454545454545453,11,9,0,Premium Retail Stores,-0.790887137349837,1.492279757000766
10404,GREENFIELD,12,1370.63,87,114.21916666666668,7.25,24.5525,0.4166666666666667,12,8,0,Premium Retail Stores,-1.0571334370789403,1.3705035416881346
10405,DAVENPORT,5,807.92,274,161.584,54.8,9.02,0.0,5,5,1,Standard Neighbourhood Stores,-1.5307163328172544,1.4866315938130332
10408,CEDAR RAPIDS,5,895.5,66,179.1,13.2,15.225999999999999,0.2,5,5,1,Standard Neighbourhood Stores,-2.2104134284047445,0.7484820636173112
10416,DES MOINES,9,1304.37,75,144.92999999999998,8.333333333333334,33.37222222222223,0.4444444444444444,9,8,0,Premium Retail Stores,-1.2097622244095527,2.4548133387685405
10434,CEDAR RAPIDS,7,658.41,78,94.05857142857143,11.142857142857142,11.132857142857144,0.14285714285714285,5,5,1,Standard Neighbourhood Stores,-2.3404217162434944,-0.3126520851833102
10443,ANKENY,16,1901.67,84,118.854375,5.25,24.355625,0.5625,16,12,0,Premium Retail Stores,-0.48644111904061726,1.6445446364761307
10445,OSCEOLA,6,573.84,105,95.64,17.5,9.38,0.0,6,5,1,Standard Neighbourhood Stores,-2.314098469341957,-0.6354269791787853
10464,MANCHESTER,5,1126.92,43,225.38400000000001,8.6,41.086,0.4,5,5,0,Premium Retail Stores,-1.880328261873197,3.5083231531861343
10479,AMES,11,977.56,122,88.8690909090909,11.090909090909092,20.093636363636364,0.36363636363636365,11,8,0,Premium Retail Stores,-1.201456688993857,0.9143075536055841
10482,ALTOONA,19,1254.49,55,66.02578947368421,2.8947368421052633,30.640526315789476,0.5263157894736842,19,14,0,Premium Retail Stores,-0.6228252175244094,1.5925358877296876
10484,SPRINGVILLE,6,775.5,115,129.25,19.166666666666668,11.5,0.0,6,6,1,Standard Neighbourhood Stores,-2.055031320081115,-0.23547375194669873
10503,SPIRIT LAKE,11,990.97,48,90.08818181818182,4.363636363636363,24.88090909090909,0.6363636363636364,11,8,0,Premium Retail Stores,-1.3781455305427055,1.9129306761052338
10506,COUNCIL BLUFFS,6,597.3,34,99.55,5.666666666666667,18.325,0.3333333333333333,6,5,0,Premium Retail Stores,-2.5165562056504367,0.671594233803819
10518,TIFFIN,6,1115.52,72,185.92,12.0,19.048333333333332,0.5,6,6,0,Premium Retail Stores,-1.6958669197381615,1.9828168063109433
10523,CEDAR RAPIDS,14,1823.16,176,130.2257142857143,12.571428571428571,13.19357142857143,0.14285714285714285,14,10,1,Standard Neighbourhood Stores,-0.7111614319949907,-0.21165966686594126
10525,DAVENPORT,7,217.58,107,31.082857142857144,15.285714285714286,6.005714285714285,0.0,6,6,1,Standard Neighbourhood Stores,-2.700573532599015,-1.3756890593940336
10531,MOUNT PLEASANT,5,172.35,10,34.47,2.0,21.734,0.4,5,5,0,Premium Retail Stores,-3.574678381088573,0.7238844030153392
10536,COUNCIL BLUFFS,5,602.52,79,120.50399999999999,15.8,25.419999999999998,0.4,5,4,0,Premium Retail Stores,-2.1427528015803974,2.1057065294255217
10540,STORY CITY,5,220.65,22,44.13,4.4,14.284,0.2,5,5,1,Standard Neighbourhood Stores,-3.3802107189674397,-0.3928410112827511
10541,DAVENPORT,6,492.74,34,82.12333333333333,5.666666666666667,16.856666666666666,0.3333333333333333,6,6,0,Premium Retail Stores,-2.5869441864050926,0.4562664607827072
10545,NEVADA,6,261.73,10,43.62166666666667,1.6666666666666667,32.623333333333335,0.5,6,6,0,Premium Retail Stores,-3.0664944491924935,1.9177116941968722
10552,CEDAR FALLS,5,261.73,19,52.346000000000004,3.8,13.648,0.0,5,3,1,Standard Neighbourhood Stores,-3.5728948679323187,-1.0778729038378578
10555,DAVENPORT,8,480.5,35,60.0625,4.375,20.735,0.375,8,6,0,Premium Retail Stores,-2.333862929193775,0.6620716050868733
10558,DES MOINES,9,1779.33,115,197.70333333333332,12.777777777777779,17.13222222222222,0.4444444444444444,9,8,0,Premium Retail Stores,-0.9934109461711736,1.5974706080161742
